	cluster	instances	deposits	length
109	['ARG', 'AAR', 'GGB', 'DHH', 'CIR', 'GND', 'ILO', 'NPI', 'MLY', 'ARM', '6HN']	516	248	11
110	['SUC']	513	259	1
111	['BEF']	509	178	1
112	['TBN', '5N5', '7CY', 'FMB', 'IMH', 'NOS', '1DA', 'AD3', 'FMC', 'UA2', '9DI', '2AD', 'FWK', 'ADN']	508	243	14
113	['CDL']	503	158	1
114	['MYZ', 'B0S', 'SSV', 'MYR']	501	211	4
115	['A2G']	498	165	1
116	['QTP', 'F2A', 'DZ4', 'DTP', 'FCJ']	495	244	5
117	['F3S']	492	262	1
118	['SQD']	478	69	1
119	['DMU']	478	111	1
120	['FUL', 'FUF']	469	218	2
121	['PEH', '3PE', '9TL', 'PEE']	454	90	4
122	['ACO']	452	203	1
123	['8CP', '0KX', 'UPC', 'DCP', 'DUT', 'XC5', 'DUP']	447	279	7
124	['BNG']	445	90	1
125	['HTG']	439	39	1
126	['PUB']	436	6	1
127	['XYS', 'X2F', 'ARA']	430	137	3
128	['4AP', '71A', '9PO', 'HVK', '3MP', '2AP', 'IPH', 'MBN', '3AP', 'WOT', 'DKG', 'LGA', 'ANL', 'CQG', 'HRZ']	429	161	15
129	['DTT']	419	230	1
130	['CQJ', '26D', 'K5V', 'CRS', '5AZ', 'BVF', 'LG3', '8VH', 'ZZS', 'URA', '71M', '8GF', 'CYT', 'RCO']	410	120	14
131	['2TM', 'UNP', 'CTP', 'CSG', 'UTP', '2KH']	404	223	6
132	['CLR']	402	164	1
133	['523', 'B7P', 'TTE', 'TTP', 'TTW', 'C6T', '1FZ', 'N6T']	400	195	8
134	['NGA']	391	133	1
135	['HBS', 'LAC', 'ALA', 'B2A', 'HBR', 'HGY', '2OP', '66N', 'DAL']	389	190	9
136	['PAR', 'NMY']	388	104	2
137	['POV', 'PC7']	387	21	2
138	['LDO', 'LYS', 'CKC', 'LYN', 'ONH', 'OLZ']	379	184	6
139	['1LX', '7HX', 'ADE', '6MP', '7WA', '9HX', '10L', 'HPA', '9DA', '7HP']	377	208	10
140	['XMP', 'IMU', 'G', '5GP']	374	173	4
141	['DPV']	367	10	1
142	['LI1']	364	39	1
143	['A86']	356	5	1
144	['HF7', '1GC', '6U4', 'GGH', 'XG4', 'DGT']	349	168	6
145	['IUM']	335	43	1
146	['DPP', 'NBT', 'UNK', 'LVG', 'ABA', 'SMB', 'DE2', 'SER', 'HUI', 'BIB']	331	136	10
147	['CAP']	328	47	1
148	['LUT']	313	20	1
149	['Y01']	309	63	1
150	['NYM', 'DT', 'FDM', 'UFP', 'TMP']	303	127	5
151	['B33', 'C14', 'SPM', 'ETE', 'SPK', '297', 'TER', '298']	303	206	8
152	['PRO', 'DPR', 'TFB', 'LPD']	286	124	4
153	['HEA']	282	78	1
154	['78M']	282	38	1
155	['4FG', 'AC6', '8EJ', 'H3Z', 'NPO', '1Y6', 'PAB', 'PBZ', 'HBD', 'MML', '4MA', 'PHB']	278	135	12
156	['MPG']	278	28	1
157	['6SW', '7CH', 'CMP']	277	112	3
158	['PEP', 'PPR', 'SPV', 'GZ3']	276	113	4
159	['ETZ', '21H', '13D', '9A4', 'LNK', 'NP0', 'MOE', 'MDD', 'PXO', 'PDO', '0D8', 'LYT', 'MXE', 'CRD', '1BO', '9A7']	268	89	16
160	['TAR', 'AHB', '2AS']	265	130	3
161	['UGC', '2RH', 'NXA', 'TEO', 'JO3', 'DLE', 'MLT', 'DAS']	264	143	8
162	['PHE', 'NFA', 'HFA', 'HPH']	260	114	4
163	['RAM']	259	79	1
164	['UNA', 'FWN', 'D12', 'PG5']	258	91	4
165	['IMI', 'BTN']	255	107	2
