	cluster	instances	deposits	length
13275	['N3C']	2	1	1
13276	['RBQ']	2	2	1
13277	['EP0']	2	1	1
13278	['XP9']	2	1	1
13279	['ENB']	2	1	1
13280	['CTU']	2	1	1
13281	['XP8']	2	1	1
13282	['N40']	2	1	1
13283	['XOS']	2	1	1
13284	['GI2']	2	1	1
13285	['GI1']	2	1	1
13286	['JG1']	2	1	1
13287	['CRV']	2	1	1
13288	['CRO']	2	1	1
13289	['CRL']	2	1	1
13290	['EQO']	2	1	1
13291	['GUW']	2	1	1
13292	['XPT']	2	1	1
13293	['CTM']	2	2	1
13294	['GN4']	2	1	1
13295	['CT0']	2	1	1
13296	['EQD']	2	1	1
13297	['EQ8']	2	1	1
13298	['J8A']	2	1	1
13299	['CSQ', 'CSV']	2	2	2
13300	['SZL', 'N6M']	2	2	2
13301	['XPM']	2	1	1
13302	['EOZ']	2	1	1
13303	['EOW']	2	1	1
13304	['CRJ']	2	1	1
13305	['GGT']	2	1	1
13306	['JG7']	2	1	1
13307	['LJG']	2	2	1
13308	['LJE']	2	1	1
13309	['RF4']	2	1	1
13310	['RFM']	2	1	1
13311	['GO8']	2	1	1
13312	['GOB']	2	1	1
13313	['DCU']	2	1	1
13314	['DCV']	2	1	1
13315	['LJ1']	2	1	1
13316	['GOV']	2	1	1
13317	['XD5']	2	1	1
13318	['DD3']	2	1	1
13319	['LJ2']	2	1	1
13320	['LKP']	2	1	1
13321	['DEE']	2	1	1
13322	['DF9']	2	1	1
13323	['LKB']	2	1	1
13324	['GOS']	2	1	1
13325	['LKF']	2	1	1
13326	['EJ4']	2	2	1
13327	['RHO']	2	2	1
13328	['J6E']	2	1	1
13329	['XDA']	2	1	1
13330	['EJK']	2	1	1
13331	['LI5']	2	1	1
13332	['GNF']	2	1	1
13333	['RF7']	2	1	1
13334	['RFA']	2	1	1
13335	['RFB']	2	1	1
13336	['LHF']	2	1	1
13337	['GP5']	2	1	1
13338	['GO1']	2	1	1
13339	['GO0']	2	1	1
13340	['EJQ']	2	1	1
13341	['GNW']	2	1	1
13342	['LI0']	2	2	1
13343	['GNR']	2	1	1
13344	['LI2', 'WBT']	2	2	2
13345	['GNM']	2	1	1
13346	['DD8']	2	2	1
13347	['XBL']	2	1	1
13348	['GNJ']	2	1	1
13349	['GNI']	2	1	1
13350	['DFH']	2	2	1
13351	['GON']	2	1	1
13352	['JJ7']	2	1	1
13353	['JKK']	2	2	1
13354	['GUT']	2	1	1
13355	['EKD']	2	1	1
13356	['EMQ']	2	1	1
13357	['LJ3']	2	1	1
13358	['DFN']	2	1	1
13359	['GUL']	2	2	1
13360	['DFS']	2	1	1
13361	['XC2']	2	2	1
13362	['JKJ']	2	2	1
13363	['RJR']	2	1	1
13364	['XBR']	2	1	1
13365	['EK6']	2	2	1
13366	['RLI']	2	1	1
13367	['JKG']	2	2	1
13368	['LJ4']	2	1	1
13369	['LJ5']	2	1	1
13370	['JJA']	2	1	1
13371	['LJA']	2	2	1
13372	['JKM']	2	1	1
13373	['GU3']	2	2	1
13374	['LLG']	2	1	1
13375	['LLC']	2	1	1
13376	['GOM']	2	1	1
13377	['LL4']	2	1	1
13378	['RJW']	2	2	1
13379	['XD3']	2	1	1
13380	['GOH']	2	1	1
13381	['GOE']	2	1	1
13382	['EJY']	2	1	1
13383	['GN5']	2	1	1
13384	['JKQ', 'JLB']	2	2	2
13385	['GR9']	2	1	1
13386	['GU1']	2	2	1
13387	['EKM']	2	1	1
13388	['GU0']	2	2	1
13389	['XCH']	2	1	1
13390	['RKN']	2	1	1
13391	['GU2']	2	2	1
13392	['LLB']	2	1	1
13393	['JJW']	2	1	1
13394	['IPW']	2	1	1
13395	['LC2']	2	2	1
13396	['DCB']	2	2	1
13397	['ESO']	2	1	1
13398	['LBY']	2	2	1
13399	['D7D']	2	2	1
13400	['EU4']	2	1	1
13401	['LG8']	2	1	1
13402	['ETP']	2	1	1
13403	['DP7', 'DI3']	2	2	2
13404	['INW']	2	1	1
13405	['LG1']	2	1	1
13406	['EU8']	2	1	1
13407	['D75']	2	1	1
13408	['YL6']	2	1	1
13409	['JBW']	2	1	1
13410	['HY3']	2	1	1
13411	['D77']	2	1	1
13412	['M68']	2	1	1
13413	['SH2']	2	1	1
13414	['D3L']	2	1	1
13415	['SGE']	2	1	1
13416	['HV2']	2	1	1
13417	['LFV']	2	1	1
13418	['HV4']	2	1	1
13419	['SIL']	2	1	1
13420	['YFE']	2	1	1
13421	['D6W']	2	2	1
13422	['G2V']	2	1	1
13423	['D4K']	2	1	1
13424	['YET']	2	1	1
13425	['INA', 'SDK']	2	2	2
13426	['YF3']	2	2	1
13427	['ES8']	2	1	1
13428	['ESE']	2	1	1
13429	['M74']	2	1	1
13430	['LGG']	2	1	1
13431	['L8Y']	2	1	1
13432	['YFB']	2	1	1
13433	['EUI']	2	2	1
13434	['LEH']	2	1	1
13435	['LHS', 'LE7']	2	2	2
13436	['HX3']	2	1	1
13437	['LEG']	2	1	1
13438	['YFD']	2	1	1
13439	['YLG']	2	2	1
13440	['I3S']	2	2	1
13441	['DH8']	2	1	1
13442	['YLC', 'YLB']	2	2	2
13443	['I43']	2	1	1
13444	['LDY']	2	1	1
13445	['ETQ']	2	1	1
13446	['HX8']	2	1	1
13447	['SGL']	2	1	1
13448	['HVM']	2	1	1
13449	['LFD']	2	1	1
13450	['SGF']	2	1	1
13451	['JFT']	2	1	1
13452	['HYY']	2	1	1
13453	['HYV']	2	1	1
13454	['IN1']	2	1	1
13455	['JK4']	2	1	1
13456	['ERD']	2	1	1
13457	['HVV']	2	1	1
13458	['M6T']	2	1	1
13459	['ESY']	2	1	1
13460	['DHG']	2	1	1
13461	['M6V']	2	1	1
13462	['IR9']	2	1	1
13463	['IN2']	2	1	1
13464	['HYS']	2	1	1
13465	['ETV']	2	1	1
13466	['LH2']	2	1	1
13467	['YKN']	2	2	1
13468	['DHR']	2	1	1
13469	['DHJ']	2	1	1
13470	['M6G']	2	1	1
13471	['ER7']	2	1	1
13472	['LGN']	2	2	1
13473	['HVG']	2	1	1
13474	['HV9']	2	2	1
13475	['LFN']	2	2	1
13476	['LFM', 'LHM']	2	2	2
13477	['M6B']	2	1	1
13478	['ESZ']	2	1	1
13479	['ERP']	2	1	1
13480	['YA1']	2	2	1
13481	['LFG']	2	2	1
13482	['ERS']	2	1	1
13483	['LDC']	2	1	1
13484	['IOB']	2	1	1
13485	['EQY']	2	1	1
13486	['LFF']	2	1	1
13487	['SH0']	2	1	1
13488	['HVE', 'M01']	2	2	2
13489	['LDM']	2	1	1
13490	['SGW']	2	1	1
13491	['DI0']	2	1	1
13492	['HZ4']	2	1	1
13493	['ERO']	2	1	1
13494	['HZ3']	2	1	1
13495	['HX7']	2	1	1
13496	['LGH']	2	1	1
13497	['IOF']	2	1	1
13498	['M7M']	2	2	1
13499	['D47']	2	1	1
13500	['SH5']	2	1	1
13501	['SIF']	2	1	1
13502	['EUW']	2	2	1
13503	['INV']	2	1	1
13504	['YLL']	2	1	1
13505	['EYQ']	2	1	1
13506	['YAK']	2	1	1
13507	['LCE']	2	1	1
13508	['YE5']	2	1	1
13509	['EYE']	2	1	1
13510	['D5X']	2	1	1
13511	['M5P']	2	1	1
13512	['L91']	2	1	1
13513	['L9A']	2	1	1
13514	['HXS']	2	1	1
13515	['EYM', 'EYA']	2	2	2
13516	['JB9']	2	1	1
13517	['L9M']	2	1	1
13518	['M7B']	2	2	1
13519	['I2P']	2	1	1
13520	['D6C']	2	2	1
13521	['SIG']	2	2	1
13522	['IQ7']	2	1	1
13523	['I30']	2	1	1
13524	['LCF']	2	2	1
13525	['G37']	2	1	1
13526	['HXM']	2	1	1
13527	['DH2']	2	2	1
13528	['HU8']	2	1	1
13529	['EUY']	2	1	1
13530	['D7N']	2	2	1
13531	['L9L']	2	1	1
13532	['IQ6']	2	1	1
13533	['M5J']	2	1	1
13534	['LGE']	2	1	1
13535	['LF2']	2	2	1
13536	['GFF', 'G2M']	2	2	2
13537	['L8D']	2	1	1
13538	['M81']	2	1	1
13539	['LC5']	2	1	1
13540	['L6Y']	2	1	1
13541	['D6M']	2	2	1
13542	['IOC']	2	1	1
13543	['LC4']	2	1	1
13544	['YDP']	2	2	1
13545	['JJY']	2	2	1
13546	['D7E']	2	1	1
13547	['JL8']	2	2	1
13548	['DH3']	2	2	1
13549	['LF9']	2	2	1
13550	['DGV']	2	1	1
13551	['IOK']	2	1	1
13552	['I5W']	2	1	1
13553	['EUS']	2	2	1
13554	['I66']	2	1	1
13555	['UBW', 'JC2']	2	2	2
13556	['D4H']	2	1	1
13557	['M3F']	2	1	1
13558	['DGW']	2	1	1
13559	['JC4']	2	1	1
13560	['LCL']	2	1	1
13561	['EUQ']	2	1	1
13562	['I32']	2	1	1
13563	['G2N']	2	1	1
13564	['CKS']	1	1	1
13565	['DS5']	1	1	1
13566	['BAD']	1	1	1
13567	['JQV']	1	1	1
13568	['DS6']	1	1	1
13569	['DWF']	1	1	1
13570	['DUH']	1	1	1
13571	['CKW']	1	1	1
13572	['JQK']	1	1	1
13573	['CDZ']	1	1	1
13574	['CDB']	1	1	1
13575	['DUO']	1	1	1
13576	['JR4']	1	1	1
13577	['CBF']	1	1	1
13578	['JQD']	1	1	1
13579	['DR5']	1	1	1
13580	['DS2']	1	1	1
13581	['DZK']	1	1	1
13582	['CI4']	1	1	1
13583	['DS3']	1	1	1
13584	['C7X']	1	1	1
13585	['DS4']	1	1	1
13586	['DUL']	1	1	1
13587	['CI9']	1	1	1
13588	['DWA']	1	1	1
13589	['CHK']	1	1	1
13590	['DXY']	1	1	1
13591	['CI1']	1	1	1
13592	['B9C']	1	1	1
13593	['B23']	1	1	1
13594	['BA6']	1	1	1
13595	['JAF']	1	1	1
13596	['DXZ']	1	1	1
13597	['JKN']	1	1	1
13598	['DU8']	1	1	1
13599	['CMF']	1	1	1
13600	['CMB']	1	1	1
13601	['DU5']	1	1	1
13602	['DWC']	1	1	1
13603	['JAD']	1	1	1
13604	['CJE']	1	1	1
13605	['B8C']	1	1	1
13606	['DRG']	1	1	1
13607	['B25']	1	1	1
13608	['JA4']	1	1	1
13609	['JA7']	1	1	1
13610	['B26']	1	1	1
13611	['JKP']	1	1	1
13612	['CKV']	1	1	1
13613	['DWB']	1	1	1
13614	['CMD']	1	1	1
13615	['B2B']	1	1	1
13616	['CHU']	1	1	1
13617	['BAA']	1	1	1
13618	['B8L']	1	1	1
13619	['CDA']	1	1	1
13620	['B99']	1	1	1
13621	['CHZ']	1	1	1
13622	['CCZ']	1	1	1
13623	['JQQ']	1	1	1
13624	['B2E']	1	1	1
13625	['JAJ']	1	1	1
13626	['B8P']	1	1	1
13627	['B9A']	1	1	1
13628	['B2W']	1	1	1
13629	['JQN']	1	1	1
13630	['CKT']	1	1	1
13631	['CD2']	1	1	1
13632	['CDY']	1	1	1
13633	['JAI']	1	1	1
13634	['JBA']	1	1	1
13635	['CDX']	1	1	1
13636	['DS7']	1	1	1
13637	['DRJ']	1	1	1
13638	['CMI']	1	1	1
13639	['JKS']	1	1	1
13640	['JR5']	1	1	1
13641	['CB7']	1	1	1
13642	['B83']	1	1	1
13643	['CEB']	1	1	1
13644	['JU4']	1	1	1
13645	['B7T']	1	1	1
13646	['BWP']	1	1	1
13647	['BWM']	1	1	1
13648	['BWK']	1	1	1
13649	['CJW']	1	1	1
13650	['BWJ']	1	1	1
13651	['DZC']	1	1	1
13652	['JGA']	1	1	1
13653	['DQS']	1	1	1
13654	['DQT']	1	1	1
13655	['DWJ']	1	1	1
13656	['JTZ']	1	1	1
13657	['CKD']	1	1	1
13658	['CK1']	1	1	1
13659	['CC3']	1	1	1
13660	['B31']	1	1	1
13661	['JGZ']	1	1	1
13662	['BXC']	1	1	1
13663	['B32']	1	1	1
13664	['CC0']	1	1	1
13665	['CEH']	1	1	1
13666	['JGB']	1	1	1
13667	['DWH']	1	1	1
13668	['BY4']	1	1	1
13669	['DRM']	1	1	1
13670	['JTU']	1	1	1
13671	['JC7']	1	1	1
13672	['CK3']	1	1	1
13673	['CEK']	1	1	1
13674	['DPE']	1	1	1
13675	['B7E']	1	1	1
13676	['JTT']	1	1	1
13677	['B0Z']	1	1	1
13678	['JUJ']	1	1	1
13679	['DWW']	1	1	1
13680	['JUH']	1	1	1
13681	['B0Y']	1	1	1
13682	['JFY']	1	1	1
13683	['DWV']	1	1	1
13684	['DP8']	1	1	1
13685	['B7K']	1	1	1
13686	['B7Q']	1	1	1
13687	['B7I']	1	1	1
13688	['BWY']	1	1	1
13689	['DWN']	1	1	1
13690	['DWY']	1	1	1
13691	['B7S']	1	1	1
13692	['JFV']	1	1	1
13693	['JC5']	1	1	1
13694	['B7H']	1	1	1
13695	['B1V']	1	1	1
13696	['CDD']	1	1	1
13697	['BWW']	1	1	1
13698	['BWT']	1	1	1
13699	['DPA']	1	1	1
13700	['JUE']	1	1	1
13701	['DY5']	1	1	1
13702	['JGV']	1	1	1
13703	['DPB']	1	1	1
13704	['JGY']	1	1	1
13705	['CJV']	1	1	1
13706	['JU7']	1	1	1
13707	['CJH']	1	1	1
13708	['CL4']	1	1	1
13709	['BY1']	1	1	1
13710	['CDK']	1	1	1
13711	['JBS']	1	1	1
13712	['BXL']	1	1	1
13713	['BXK']	1	1	1
13714	['JBT']	1	1	1
13715	['JB3']	1	1	1
13716	['JB1']	1	1	1
13717	['BXJ']	1	1	1
13718	['CKZ']	1	1	1
13719	['JHS']	1	1	1
13720	['J9V']	1	1	1
13721	['CEZ']	1	1	1
13722	['DZH']	1	1	1
13723	['DV4']	1	1	1
13724	['JJ4']	1	1	1
13725	['B7Z']	1	1	1
13726	['B81']	1	1	1
13727	['B93']	1	1	1
13728	['JR6']	1	1	1
13729	['DY4']	1	1	1
13730	['DRV']	1	1	1
13731	['B3J']	1	1	1
13732	['DRX']	1	1	1
13733	['B8X']	1	1	1
13734	['BXE']	1	1	1
13735	['JKB']	1	1	1
13736	['CM9']	1	1	1
13737	['CDH']	1	1	1
13738	['DRY']	1	1	1
13739	['DUW']	1	1	1
13740	['JBI']	1	1	1
13741	['DUV']	1	1	1
13742	['B92']	1	1	1
13743	['JB6']	1	1	1
13744	['CK5']	1	1	1
13745	['JSB']	1	1	1
13746	['JGJ']	1	1	1
13747	['JGM']	1	1	1
13748	['JFS']	1	1	1
13749	['CK6']	1	1	1
13750	['CK9']	1	1	1
13751	['BXZ']	1	1	1
13752	['CL7']	1	1	1
13753	['CEM']	1	1	1
13754	['JC1']	1	1	1
13755	['CL3']	1	1	1
13756	['CEN']	1	1	1
13757	['B84']	1	1	1
13758	['JCF']	1	1	1
13759	['BXV']	1	1	1
13760	['JHG']	1	1	1
13761	['JHA']	1	1	1
13762	['BXS']	1	1	1
13763	['JCG']	1	1	1
13764	['BWE']	1	1	1
13765	['BXQ']	1	1	1
13766	['B88']	1	1	1
13767	['B3B']	1	1	1
13768	['B3C']	1	1	1
13769	['CBN']	1	1	1
13770	['B3G']	1	1	1
13771	['B97']	1	1	1
13772	['JB7']	1	1	1
13773	['CET']	1	1	1
13774	['B95']	1	1	1
13775	['DRR']	1	1	1
13776	['CBL']	1	1	1
13777	['JS3']	1	1	1
13778	['DZO']	1	1	1
13779	['BBF']	1	1	1
13780	['DNY']	1	1	1
13781	['DTX']	1	1	1
13782	['DNV']	1	1	1
13783	['DNT']	1	1	1
13784	['CG4']	1	1	1
13785	['BAW']	1	1	1
13786	['DL6']	1	1	1
13787	['DSK']	1	1	1
13788	['CF5']	1	1	1
13789	['DMZ']	1	1	1
13790	['CF6']	1	1	1
13791	['DL4']	1	1	1
13792	['JJZ']	1	1	1
13793	['C8F']	1	1	1
13794	['DL7']	1	1	1
13795	['DL8']	1	1	1
13796	['DLB']	1	1	1
13797	['C9Y']	1	1	1
13798	['B9N']	1	1	1
13799	['CM3']	1	1	1
13800	['C8H']	1	1	1
13801	['CH4']	1	1	1
13802	['BCW']	1	1	1
13803	['DLC']	1	1	1
13804	['C9V']	1	1	1
13805	['JJX']	1	1	1
13806	['BCV']	1	1	1
13807	['CH0']	1	1	1
13808	['DTW']	1	1	1
13809	['CM4']	1	1	1
13810	['CGW']	1	1	1
13811	['CA3']	1	1	1
13812	['JJH']	1	1	1
13813	['DN1']	1	1	1
13814	['CF9']	1	1	1
13815	['JK2']	1	1	1
13816	['DKY']	1	1	1
13817	['DT8']	1	1	1
13818	['DL2']	1	1	1
13819	['DL3']	1	1	1
13820	['JRT']	1	1	1
13821	['DT9']	1	1	1
13822	['DYB']	1	1	1
13823	['J9P']	1	1	1
13824	['C83']	1	1	1
13825	['DN5']	1	1	1
13826	['CFB']	1	1	1
13827	['C84']	1	1	1
13828	['B9R']	1	1	1
13829	['C87']	1	1	1
13830	['JL7']	1	1	1
13831	['C88']	1	1	1
13832	['DWX']	1	1	1
13833	['DYM']	1	1	1
13834	['C8A']	1	1	1
13835	['CA5']	1	1	1
13836	['CA4']	1	1	1
13837	['CLK']	1	1	1
13838	['CF8']	1	1	1
13839	['JK1']	1	1	1
13840	['B9Q']	1	1	1
13841	['DN2']	1	1	1
13842	['CLN']	1	1	1
13843	['C8B']	1	1	1
13844	['C8C']	1	1	1
13845	['C8K']	1	1	1
13846	['C8L']	1	1	1
13847	['DOK']	1	1	1
13848	['BA8']	1	1	1
13849	['DTE']	1	1	1
13850	['CAW']	1	1	1
13851	['JF0']	1	1	1
13852	['JDD']	1	1	1
13853	['CAI']	1	1	1
13854	['CF4']	1	1	1
13855	['BDY']	1	1	1
13856	['B9K']	1	1	1
13857	['DZ9']	1	1	1
13858	['JJS']	1	1	1
13859	['JFA']	1	1	1
13860	['C9M']	1	1	1
13861	['DZ0']	1	1	1
13862	['DZ8']	1	1	1
13863	['CBB']	1	1	1
13864	['DOJ']	1	1	1
13865	['DZ7']	1	1	1
13866	['CGJ']	1	1	1
13867	['CGG']	1	1	1
13868	['CBA']	1	1	1
13869	['CGF']	1	1	1
13870	['JFK']	1	1	1
13871	['CB8']	1	1	1
13872	['DO8']	1	1	1
13873	['DZ6']	1	1	1
13874	['DO1']	1	1	1
13875	['JFJ']	1	1	1
13876	['BDU']	1	1	1
13877	['BA5']	1	1	1
13878	['CGC']	1	1	1
13879	['BE1']	1	1	1
13880	['CAS']	1	1	1
13881	['BBM']	1	1	1
13882	['DYZ']	1	1	1
13883	['DTS']	1	1	1
13884	['B9M']	1	1	1
13885	['JDY']	1	1	1
13886	['BBO']	1	1	1
13887	['BBP']	1	1	1
13888	['CGT']	1	1	1
13889	['DWD']	1	1	1
13890	['BBQ']	1	1	1
13891	['DTJ']	1	1	1
13892	['DTI']	1	1	1
13893	['BBT']	1	1	1
13894	['JJQ']	1	1	1
13895	['JDV']	1	1	1
13896	['BBX']	1	1	1
13897	['C9O']	1	1	1
13898	['DLJ']	1	1	1
13899	['BDJ']	1	1	1
13900	['DLF']	1	1	1
13901	['BE4']	1	1	1
13902	['BCQ']	1	1	1
13903	['JDR']	1	1	1
13904	['BAZ']	1	1	1
13905	['DTF']	1	1	1
13906	['BE3']	1	1	1
13907	['BDK']	1	1	1
13908	['CM6']	1	1	1
13909	['DLH']	1	1	1
13910	['BDL']	1	1	1
13911	['JDJ']	1	1	1
13912	['DLI']	1	1	1
13913	['DSI']	1	1	1
13914	['C8M']	1	1	1
13915	['DXO']	1	1	1
13916	['JAS']	1	1	1
13917	['BDC']	1	1	1
13918	['DM4']	1	1	1
13919	['DM3']	1	1	1
13920	['DVZ']	1	1	1
13921	['BC5']	1	1	1
13922	['DLT']	1	1	1
13923	['BC4']	1	1	1
13924	['BD2']	1	1	1
13925	['JL5']	1	1	1
13926	['DLR']	1	1	1
13927	['JL4']	1	1	1
13928	['JL2']	1	1	1
13929	['CCL']	1	1	1
13930	['JKZ']	1	1	1
13931	['DVR']	1	1	1
13932	['B09']	1	1	1
13933	['CIJ']	1	1	1
13934	['CII']	1	1	1
13935	['C8U']	1	1	1
13936	['JAY']	1	1	1
13937	['BRZ']	1	1	1
13938	['DZW']	1	1	1
13939	['CKH']	1	1	1
13940	['CIH']	1	1	1
13941	['JRZ']	1	1	1
13942	['JJB']	1	1	1
13943	['CKG']	1	1	1
13944	['CID']	1	1	1
13945	['CKE']	1	1	1
13946	['BC8']	1	1	1
13947	['JRW']	1	1	1
13948	['CMW']	1	1	1
13949	['DZ5']	1	1	1
13950	['CCQ']	1	1	1
13951	['BAF']	1	1	1
13952	['JKT']	1	1	1
13953	['JKV']	1	1	1
13954	['CMU']	1	1	1
13955	['DXM']	1	1	1
13956	['B2K']	1	1	1
13957	['B2L']	1	1	1
13958	['JQA']	1	1	1
13959	['JQ7']	1	1	1
13960	['JR9']	1	1	1
13961	['JRB']	1	1	1
13962	['DR9']	1	1	1
13963	['CIC']	1	1	1
13964	['CKK']	1	1	1
13965	['B2T']	1	1	1
13966	['B2U']	1	1	1
13967	['BB3']	1	1	1
13968	['BAG']	1	1	1
13969	['CJ8']	1	1	1
13970	['JKW']	1	1	1
13971	['JS7']	1	1	1
13972	['CJ7']	1	1	1
13973	['CJ5']	1	1	1
13974	['CJ4']	1	1	1
13975	['DZT']	1	1	1
13976	['DW4']	1	1	1
13977	['DRD']	1	1	1
13978	['BE5']	1	1	1
13979	['DRF']	1	1	1
13980	['CF2']	1	1	1
13981	['JKY']	1	1	1
13982	['BD9']	1	1	1
13983	['DVQ']	1	1	1
13984	['C8W']	1	1	1
13985	['JRK']	1	1	1
13986	['B9X']	1	1	1
13987	['E04']	1	1	1
13988	['JK3']	1	1	1
13989	['DLM']	1	1	1
13990	['DZD']	1	1	1
13991	['JRN']	1	1	1
13992	['DT1']	1	1	1
13993	['CM7']	1	1	1
13994	['CLC']	1	1	1
13995	['BD6']	1	1	1
13996	['DSV']	1	1	1
13997	['BD5']	1	1	1
13998	['B9W']	1	1	1
13999	['B9U']	1	1	1
14000	['C9F']	1	1	1
14001	['E02']	1	1	1
14002	['B9T']	1	1	1
14003	['C8Q']	1	1	1
14004	['DKV']	1	1	1
14005	['BD4']	1	1	1
14006	['CFK']	1	1	1
14007	['DNK']	1	1	1
14008	['JRH']	1	1	1
14009	['BC0']	1	1	1
14010	['JJG']	1	1	1
14011	['BC']	1	1	1
14012	['C8N']	1	1	1
14013	['DKW']	1	1	1
14014	['JRG']	1	1	1
14015	['CFH']	1	1	1
14016	['DLN']	1	1	1
14017	['DT3']	1	1	1
14018	['JRV']	1	1	1
14019	['DXI']	1	1	1
14020	['CKQ']	1	1	1
14021	['BD8']	1	1	1
14022	['C7W']	1	1	1
14023	['DZX']	1	1	1
14024	['DM9']	1	1	1
14025	['DVN']	1	1	1
14026	['DVM']	1	1	1
14027	['BA0']	1	1	1
14028	['CMZ']	1	1	1
14029	['DXJ']	1	1	1
14030	['BCE']	1	1	1
14031	['DVK']	1	1	1
14032	['CF1']	1	1	1
14033	['BD7']	1	1	1
14034	['DVJ']	1	1	1
14035	['CFV']	1	1	1
14036	['DVD']	1	1	1
14037	['DMC']	1	1	1
14038	['DT4']	1	1	1
14039	['BCF']	1	1	1
14040	['JJD']	1	1	1
14041	['DZZ']	1	1	1
14042	['BAN']	1	1	1
14043	['BCG']	1	1	1
14044	['E05']	1	1	1
14045	['JJE']	1	1	1
14046	['C96']	1	1	1
14047	['JRQ']	1	1	1
14048	['CFX']	1	1	1
14049	['DNS']	1	1	1
14050	['CDO']	1	1	1
14051	['EHW']	1	1	1
14052	['BX1']	1	1	1
14053	['9N0']	1	1	1
14054	['DI5']	1	1	1
14055	['9N9']	1	1	1
14056	['9N8']	1	1	1
14057	['DI6']	1	1	1
14058	['DI9']	1	1	1
14059	['9N3']	1	1	1
14060	['9N2']	1	1	1
14061	['DJQ']	1	1	1
14062	['DK3']	1	1	1
14063	['9M7']	1	1	1
14064	['9M6']	1	1	1
14065	['DJW']	1	1	1
14066	['9L5']	1	1	1
14067	['DJY']	1	1	1
14068	['9L3']	1	1	1
14069	['9L1']	1	1	1
14070	['9NB']	1	1	1
14071	['DH4']	1	1	1
14072	['9NG']	1	1	1
14073	['9NH']	1	1	1
14074	['DI2']	1	1	1
14075	['9MK']	1	1	1
14076	['9MJ']	1	1	1
14077	['9MH']	1	1	1
14078	['9ME']	1	1	1
14079	['DI4']	1	1	1
14080	['9MB']	1	1	1
14081	['9MA']	1	1	1
14082	['9MX']	1	1	1
14083	['DH7']	1	1	1
14084	['DG9']	1	1	1
14085	['DGR']	1	1	1
14086	['9NO']	1	1	1
14087	['9NM']	1	1	1
14088	['9NL']	1	1	1
14089	['DJZ']	1	1	1
14090	['9KU']	1	1	1
14091	['9MQ']	1	1	1
14092	['9QN']	1	1	1
14093	['DJ1']	1	1	1
14094	['DJ6']	1	1	1
14095	['DJ9']	1	1	1
14096	['9NQ']	1	1	1
14097	['DJE']	1	1	1
14098	['DJH']	1	1	1
14099	['DG1']	1	1	1
14100	['9QK']	1	1	1
14101	['DK5']	1	1	1
14102	['DDG']	1	1	1
14103	['9QG']	1	1	1
14104	['9QF']	1	1	1
14105	['DDH']	1	1	1
14106	['DDK']	1	1	1
14107	['9Q5']	1	1	1
14108	['9Q0']	1	1	1
14109	['9LL']	1	1	1
14110	['9LM']	1	1	1
14111	['9LN']	1	1	1
14112	['DIT']	1	1	1
14113	['9KR']	1	1	1
14114	['DKD']	1	1	1
14115	['9LF']	1	1	1
14116	['9LG']	1	1	1
14117	['9LH']	1	1	1
14118	['9LI']	1	1	1
14119	['9M4']	1	1	1
14120	['DKK']	1	1	1
14121	['DIC']	1	1	1
14122	['9M0']	1	1	1
14123	['9LZ']	1	1	1
14124	['DID']	1	1	1
14125	['9LW']	1	1	1
14126	['9LV']	1	1	1
14127	['9LT']	1	1	1
14128	['DI1']	1	1	1
14129	['DHZ']	1	1	1
14130	['AS6']	1	1	1
14131	['D3Z']	1	1	1
14132	['D5N']	1	1	1
14133	['D4Q']	1	1	1
14134	['ATC']	1	1	1
14135	['D4L']	1	1	1
14136	['AT8']	1	1	1
14137	['D3V']	1	1	1
14138	['D3X']	1	1	1
14139	['D41']	1	1	1
14140	['D76']	1	1	1
14141	['D42']	1	1	1
14142	['D46']	1	1	1
14143	['D49']	1	1	1
14144	['D4D']	1	1	1
14145	['ASH']	1	1	1
14146	['ASF']	1	1	1
14147	['D5W']	1	1	1
14148	['D5I']	1	1	1
14149	['D5H']	1	1	1
14150	['D5B']	1	1	1
14151	['D59']	1	1	1
14152	['D4W']	1	1	1
14153	['D4Y']	1	1	1
14154	['D4Z']	1	1	1
14155	['D50']	1	1	1
14156	['AS']	1	1	1
14157	['ARZ']	1	1	1
14158	['D51']	1	1	1
14159	['D52']	1	1	1
14160	['ARU']	1	1	1
14161	['D53']	1	1	1
14162	['D55']	1	1	1
14163	['ARQ']	1	1	1
14164	['ARL']	1	1	1
14165	['ARK']	1	1	1
14166	['D58']	1	1	1
14167	['D73']	1	1	1
14168	['D78']	1	1	1
14169	['9MU']	1	1	1
14170	['AQS']	1	1	1
14171	['D6Z']	1	1	1
14172	['D61']	1	1	1
14173	['D66']	1	1	1
14174	['AQY']	1	1	1
14175	['D69']	1	1	1
14176	['D6I']	1	1	1
14177	['D6J']	1	1	1
14178	['D6T']	1	1	1
14179	['AQ5']	1	1	1
14180	['D6X']	1	1	1
14181	['AQG']	1	1	1
14182	['DHP']	1	1	1
14183	['B06']	1	1	1
14184	['DHD']	1	1	1
14185	['A6W']	1	1	1
14186	['9MV']	1	1	1
14187	['D70']	1	1	1
14188	['AR8']	1	1	1
14189	['D7Q']	1	1	1
14190	['AQE']	1	1	1
14191	['D79']	1	1	1
14192	['AQ3']	1	1	1
14193	['AQ2']	1	1	1
14194	['D7A']	1	1	1
14195	['AQ0']	1	1	1
14196	['APZ']	1	1	1
14197	['D7B']	1	1	1
14198	['APW']	1	1	1
